building_ID,CVRMSE,NRMSE,MAE,MAE_NORM,MSE,MSE_NORM,Avg_Test_Loss
Apt_2016_hour_Apt48,0.4951988365281641,49.51988297043639,20.824635,0.37468493,1172.3306,0.379514,0.14262622727382876
Apt_2016_hour_Apt2,0.5222173371090494,52.22173520133609,28.568476,0.45091215,1694.0319,0.42201826,0.1829785205754222
Apt_2016_hour_Apt96,0.6710055238347964,67.10054955628132,36.24707,0.52819085,2790.196,0.5924758,0.23937870535579786
Apt_2016_hour_Apt109,0.5374841843732704,53.74841798547378,10.604003,0.30132616,268.10254,0.21648854,0.10024033282614152
Apt_2016_hour_Apt20,0.6009964085583395,60.099639140959276,13.237937,0.22524703,627.3643,0.18163405,0.07437701664250557
Apt_2016_hour_Apt53,0.5667994267426613,56.67994350409884,25.842234,0.4295871,1684.771,0.4655681,0.18116853714758255
Apt_2016_hour_Apt8,0.5660479239034123,56.604794408762615,40.540524,0.50806993,3376.8508,0.5303714,0.22566027095128166
Apt_2016_hour_Apt77,0.7502087499380751,75.02087284679139,29.604752,0.49135318,2221.7043,0.61199933,0.22155325986224828
Apt_2016_hour_Apt102,0.6439943840439553,64.39943772047987,28.47149,0.4980239,1667.477,0.5101992,0.20965767829436285
Apt_2016_hour_Apt21,0.6512124089831841,65.12124103879896,30.150219,0.42033193,2263.521,0.43993473,0.1731220329146337
Apt_2016_hour_Apt93,0.6788047934280507,67.88048153159731,24.430616,0.49583098,1197.8898,0.4934184,0.21238921308317338
Apt_2016_hour_Apt7,0.6088287644994139,60.88287652668486,22.106531,0.42647377,1319.9497,0.49124813,0.17881495913959594
Apt_2016_hour_Apt113,0.8675285705747602,86.75285977672658,27.505053,0.46281588,1981.3004,0.560973,0.2070543571818734
Apt_2016_hour_Apt97,0.5219457076443635,52.19456855153441,32.00874,0.49601012,2119.3315,0.50891227,0.21126082157084888
Apt_2016_hour_Apt78,0.7190079071135792,71.90078914500191,26.59284,0.42070276,2103.963,0.52657384,0.1948888944070065
Apt_2016_hour_Apt36,0.565579690375183,56.55797010328546,19.52114,0.34986976,925.64484,0.29733554,0.12962042432072207
Apt_2016_hour_Apt3,0.7156641738055682,71.56641686247428,28.809605,0.3732191,2251.4885,0.37785292,0.15307335188181112
Apt_2016_hour_Apt88,0.6387642971216766,63.87642765258607,36.00138,0.48627168,2817.2712,0.5139823,0.21042974159436326
Apt_2016_hour_Apt18,0.702751948284144,70.27519115311691,32.284225,0.4661749,2457.6418,0.5124314,0.20340795919311833
Apt_2016_hour_Apt71,0.6030089592225709,60.30089826176508,26.09425,0.47503957,1536.0746,0.5090755,0.20407386666777033
Apt_2016_hour_Apt112,0.5904821898942296,59.04822069303418,34.48089,0.5019581,2663.4988,0.5644567,0.22003571386690887
Apt_2016_hour_Apt95,0.5702303630348837,57.02303784988754,31.15427,0.469848,2222.9402,0.5056004,0.20300492865933617
Apt_2016_hour_Apt94,0.6152735753227223,61.52735881430897,19.533092,0.31032595,1159.858,0.29275134,0.11732457128261596
Apt_2016_hour_Apt22,0.7522381063352955,75.22381322263945,35.397873,0.5292981,2951.619,0.65994346,0.2488224191264443
